COMID,x,y,row,col,zone_id,lin_area_km2,lin_width_m,lin_depth_m,lin_Q2_m3s,d4_area_at_point_km2,nearest_d4_area_km2,nearest_d4_distance_m,zone_boundary_distance_m,in_grid,area_ratio_lin_to_nearest_d4,basic_valid,passes_distance,passes_area_ratio,passes_boundary,calibration_valid,fit_area_km2
45087321,341319.67245112883,2080200.2526651227,616,523,5,40.25316536095071,218.49031000000002,0.1964331418275833,30.09180145835732,33.49980163574219,33.49980163574219,0.0,1243.1009521484375,True,1.2015941407247948,True,True,True,True,True,33.49980163574219
45087380,342117.6657579212,2082135.2016667626,552,549,4,52.51009126068267,69.1259,0.47099363803863525,31.11496357313702,0.027899999171495438,8.661600112915039,120.0,531.6013793945312,True,6.062400777702324,True,True,True,True,True,8.661600112915039
45087459,375261.5899597778,2089258.0809296821,314,1654,0,47.02792857559896,108.65053,0.09970928728580475,6.145498814296952,0.0,5.210100173950195,14268.556640625,11514.5302734375,True,9.026300264001126,False,False,True,True,False,5.210100173950195
45087470,342899.2678718128,2090978.6004170422,257,575,2,25.347846509469466,162.0966,1.160143494606018,18.582767696977008,0.066600002348423,21.41550064086914,240.0,300.0,True,1.1836214774776674,True,True,True,True,True,21.41550064086914
45087488,343047.9981583777,2091750.2835576585,231,580,1,33.892534955878055,82.26333000000001,0.20180927217006683,15.050349321684205,0.011699999682605267,33.760799407958984,30.0,120.0,True,1.003902026913735,True,True,True,True,True,33.760799407958984
45087518,393376.55140791304,2087762.3339736497,364,2258,0,144.93778320118966,79.49217,0.18963086605072021,10.635500628159024,0.0,5.022900104522705,22103.017578125,19727.50390625,True,28.85539831275665,False,False,True,True,False,5.022900104522705
45087532,368353.57213784585,2082141.4533929224,552,1424,0,396.7890234960134,69.639,0.7872905731201172,57.74959948644507,0.0,18.772199630737305,5531.7265625,2401.68701171875,True,21.13705539580547,False,False,True,True,False,18.772199630737305
45087534,326800.75362005894,2096560.5388730068,71,39,0,32.1452309685442,86.94019,0.4046933054924011,25.776289347319906,0.0,5.0121002197265625,13082.3740234375,10887.974609375,True,6.413525180926629,False,False,True,True,False,5.0121002197265625
45087930,361009.2619721334,2034206.8917499408,2149,1179,62,432.21308412268615,130.8787,1.1369367837905884,79.9927845659809,0.006300000008195639,426.71429443359375,60.0,954.829833984375,True,1.0128863498617766,True,True,True,True,True,426.71429443359375
45087961,353785.1772022103,2040756.6362394649,1931,938,54,132.2147962760081,59.02364300000001,0.37164732813835144,21.23916620159539,0.006300000008195639,82.80000305175781,30.0,2133.588623046875,True,1.596796997620415,True,True,True,True,True,82.80000305175781
45088203,357588.3499716599,2033749.0599330098,2165,1065,64,287.73324376725736,117.30694,0.817733108997345,73.45421058416451,0.0044999998062849045,283.726806640625,212.1320343017578,1531.176025390625,True,1.0141207564208305,True,True,True,True,True,283.726806640625
45089065,359010.969212691,2023779.4069325975,2497,1112,0,123.68105065505536,59.485434999999995,0.3178710639476776,14.37372138351382,0.0,7.765200138092041,6010.19140625,3329.45947265625,True,15.927606301908476,False,False,True,True,False,7.765200138092041
45089105,347591.2440867168,2029512.8898177077,2306,732,66,120.58575517075118,62.23574,0.4947424530982971,27.489775727489718,0.02969999983906746,8.212499618530273,240.0,1843.963134765625,True,14.683197658684515,True,True,True,True,True,8.212499618530273
45089127,392846.9271696639,2028372.6392754258,2344,2240,0,81.77651433706761,89.05834,0.08042241632938385,3.066474720489461,0.0,5.1921000480651855,8898.73046875,6865.47900390625,True,15.750180770792598,False,False,True,True,False,5.1921000480651855
45089158,320328.3597682125,2029887.1629508678,-1,-1,0,169.99601907998698,87.95923,0.8615444898605347,95.9433530788853,,,,,False,,False,False,False,False,False,
45089208,346593.9987325386,2032974.0941590385,2191,698,63,134.80988706841032,63.38571999999999,0.6134006381034851,38.232865691165216,0.02070000022649765,94.8906021118164,339.4112548828125,1615.5494384765625,True,1.4206874449964408,True,True,True,True,True,94.8906021118164
